dataset,strategy,final_pnl,sharpe,max_drawdown,trade_count
full,market,87.8734387520025,,,
full,trend_following,41.55896020945223,7.0681049409411125,-7.183911612205967,114.0
full,mean_reversion,-9.580248577626273,-1.7577293836993813,-33.798157560708646,225.0
train,market,41.19526595639868,,,
train,trend_following,12.41683742224053,3.8096922014754404,-6.413302422255976,78.0
train,mean_reversion,16.186404931769157,5.9355731847183435,-6.786885489211944,161.0
test,market,87.8734387520025,,,
test,trend_following,41.55896020945223,11.935827364307391,-7.183911612205967,36.0
test,mean_reversion,-9.580248577626273,-10.628926609265958,-33.798157560708646,64.0
